freq,p,o
61,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Death_metal
29,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Stockholm
24,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Sweden
19,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Century_Media_Records
18,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Melodic_death_metal
16,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Black_metal
15,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Nuclear_Blast
14,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Thrash_metal
12,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Entombed_(band)
12,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Entombed_(band)
9,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Metal_Blade_Records
6,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Technical_death_metal
6,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Bloodbath
6,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Gothenburg
6,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Relapse_Records
6,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Bloodbath
6,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Blackened_death_metal
6,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Candlelight_Records
5,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Nihilist_(band)
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Progressive_metal
5,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Lars-Göran_Petrov
5,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Nihilist_(band)
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Death-doom
4,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Therion_(band)
4,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Tiamat_(band)
4,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/In_Flames
4,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Napalm_Records
4,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Katatonia
4,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Tiamat_(band)
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Grindcore
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Gothic_metal
