freq,p,o,rank
273,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Sitcom,1
74,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/NBC,2
67,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/CBS,3
56,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Warner_Bros._Television_Studios,4
55,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/NTSC,5
54,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Sony_Pictures_Television,6
45,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/American_Broadcasting_Company,7
43,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Warner_Bros._Television_Studios,8
36,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Universal_Television,9
36,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/CBS_Media_Ventures,9
35,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Paramount_Television_(original),11
34,http://dbpedia.org/ontology/channel,http://dbpedia.org/resource/American_Broadcasting_Company,12
33,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/20th_Television,13
32,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/English_language,14
32,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/ABC_Signature,14
31,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Columbia_Pictures_Television,16
31,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/Fox_Broadcasting_Company,16
31,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/Jonathan_Wolff_(musician),16
29,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Disney–ABC_Domestic_Television,19
24,http://dbpedia.org/ontology/channel,http://dbpedia.org/resource/Fox_Broadcasting_Company,20
24,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/Stereophonic_sound,20
22,http://dbpedia.org/ontology/channel,http://dbpedia.org/resource/CBS,22
20,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/20th_Television,23
20,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/The_WB,23
19,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Columbia_TriStar_Television,25
19,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Witt/Thomas_Productions,25
18,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/CBS_Productions,27
17,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Paul_Junger_Witt,28
17,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Tony_Thomas_(producer),28
16,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/UPN,30
15,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/United_States,31
14,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/NBCUniversal_Syndication_Studios,32
14,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Touchstone_Television,32
13,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Comedy,34
13,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Animated_sitcom,34
13,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/TriStar_Television,34
13,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Castle_Rock_Entertainment,34
11,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/Ray_Colcord,38
11,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/James_Widdoes,38
11,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/Dolby_Pro_Logic,38
10,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Lorimar_Television,41
10,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Tom_Werner,41
10,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/The_Carsey-Werner_Company,41
9,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Michael_Jacobs_(producer),44
9,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Marcy_Carsey,44
9,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/HBO,44
9,http://dbpedia.org/ontology/channel,http://dbpedia.org/resource/NBC,44
9,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/Jesse_Frederick,44
9,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/Mark_Mothersbaugh,44
9,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Brillstein_Entertainment_Partners,44
9,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/High-definition_television,44
8,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/W._G._Snuffy_Walden,52
8,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/James_Burrows,52
8,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Miller-Boyett_Productions,52
8,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Columbia_TriStar_Television,52
8,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Michael_Jacobs_(producer),52
8,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/MTM_Enterprises,52
8,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Robert_Berlinger,52
7,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/Kurt_Farquhar,59
7,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/Broadcast_syndication,59
7,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Rob_Schiller,59
7,http://dbpedia.org/ontology/channel,http://dbpedia.org/resource/Broadcast_syndication,59
7,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Steve_Zuckerman,59
7,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Matthew_Diamond,59
7,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Rich_Correll,59
7,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/ELP_Communications,59
7,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/John_Bowab,59
6,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Caryn_Mandabach,68
6,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Gil_Junger,68
6,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Miller-Boyett_Productions,68
6,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Disney_Platform_Distribution,68
6,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/Steve_Dorff,68
6,http://dbpedia.org/ontology/location,"http://dbpedia.org/resource/Burbank,_California",68
6,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Susan_Harris,68
6,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Bernie_Brillstein,68
6,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Michael_Lembeck,68
6,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/Miller-Boyett_Productions,68
6,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Betty_White,68
6,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Michael_Jacobs_Productions,68
6,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Peter_Bonerz,68
6,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Susan_Harris,68
6,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Ubu_Productions,68
6,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Brad_Grey,68
5,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Frank_Bonner,84
5,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Shelley_Jensen,84
5,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/List_of_production_companies_owned_by_the_American_Broadcasting_Company,84
5,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Matt_Williams_(TV_producer),84
5,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Jeff_Melman,84
5,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Andrew_D._Weyman,84
5,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Kevin_S._Bright,84
5,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Scott_Baio,84
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Comedy-drama,84
5,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/John_Tracy_(director),84
5,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/David_Crane_(producer),84
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Satire,84
5,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Columbia_Pictures_Television,84
5,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/DreamWorks_Television,84
5,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/Dolby_Digital,84
5,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Marta_Kauffman,84
5,http://dbpedia.org/ontology/composer,http://dbpedia.org/resource/George_Tipton,84
5,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Michael_J._Weithorn,84
5,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Terry_Hughes_(director),84
5,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Alison_La_Placa,84
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Science_fiction,104
4,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Lisa_Rieffel,104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Chuck_Lorre,104
4,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Stan_Lathan,104
4,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Mort_Nathan,104
4,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/David_McFadzean,104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Marco_Pennette,104
4,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Marta_Kauffman,104
4,http://dbpedia.org/ontology/voice,http://dbpedia.org/resource/Maurice_LaMarche,104
