freq,p,o,rank
1,http://dbpedia.org/ontology/soundRecording,http://dbpedia.org/resource/European_golden_plover__Sound__1,1
1,http://dbpedia.org/ontology/soundRecording,http://dbpedia.org/resource/Yellowhammer__Sound__1,1
1,http://dbpedia.org/ontology/illustrator,http://dbpedia.org/resource/John_Gerrard_Keulemans,1
1,http://dbpedia.org/ontology/order,http://dbpedia.org/resource/Anseriformes,1
1,http://dbpedia.org/ontology/nonFictionSubject,http://dbpedia.org/resource/Western_Palaearctic,1
1,http://dbpedia.org/ontology/class,http://dbpedia.org/resource/Bird,1
1,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Anser_(bird),1
1,http://dbpedia.org/ontology/genus,http://dbpedia.org/resource/Anser_(bird),1
1,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Anserinae,1
1,http://dbpedia.org/ontology/kingdom,http://dbpedia.org/resource/Animal,1
1,http://dbpedia.org/ontology/family,http://dbpedia.org/resource/Anatidae,1
1,http://dbpedia.org/ontology/phylum,http://dbpedia.org/resource/Chordate,1
