freq,p,o,rank
26,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Software,1
15,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Privately_held_company,2
13,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Public_company,3
13,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Business_intelligence,3
10,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Business_intelligence,5
9,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/United_States,6
9,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Analytics,6
8,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Data_visualization,8
8,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Subsidiary,8
6,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Big_data,10
6,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chief_executive_officer,10
5,http://dbpedia.org/ontology/product,"http://dbpedia.org/resource/Extract,_transform,_load",12
5,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Data_warehouse,12
3,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Consultant,14
3,http://dbpedia.org/ontology/license,http://dbpedia.org/resource/Proprietary_software,14
3,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Business_performance_management,14
3,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Cloud_computing,14
3,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/San_Francisco,14
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Risk_and_strategic_consulting,19
2,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Business_intelligence,19
2,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/Microsoft_Windows,19
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Competitive_intelligence,19
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Software_company,19
2,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/President_(corporate_title),19
2,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chief_technology_officer,19
2,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Big_data,19
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Internet,19
2,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/Linux,19
2,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Boston,19
1,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/United_States,30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Business_analytics,30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Litigation_strategy,30
1,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/SAP_CRM,30
1,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Ottawa,30
1,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/MapR,30
1,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Snowflake_Inc.,30
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Analytics,30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Data_analysis,30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Internet_of_things,30
1,http://dbpedia.org/ontology/locationCity,"http://dbpedia.org/resource/Reston,_Virginia",30
1,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/IBM_AIX,30
1,http://dbpedia.org/ontology/parentCompany,http://dbpedia.org/resource/CoreLogic,30
1,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/Smith_Brandon_International,30
1,http://dbpedia.org/ontology/location,"http://dbpedia.org/resource/Tysons,_Virginia",30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/E-commerce,30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Business_intelligence_software,30
1,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Aktieselskab,30
1,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/California,30
1,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/San_Francisco_Bay_Area,30
1,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/resource/Josh_James,30
1,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/resource/Klaus_Tschira,30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Chatbot,30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Speech_analytics,30
1,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Hasso_Plattner,30
1,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/United_Kingdom,30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Database_marketing,30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Revenue_assurance,30
1,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Brand,30
1,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Analytics,30
1,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/IHS_Markit,30
1,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Houston,30
1,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Java_(software_platform),30
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Cloud_Migration,30
1,http://dbpedia.org/ontology/owner,"http://dbpedia.org/resource/Idera,_Inc.",30
1,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Chiasso,30
1,http://dbpedia.org/ontology/location,"http://dbpedia.org/resource/Santa_Clara,_California",30
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Online_office_suite,30
