freq,p,o,rank
33,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/California,1
25,http://dbpedia.org/ontology/party,http://dbpedia.org/resource/Democratic_Party_(United_States),2
21,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Los_Angeles,3
20,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/San_Francisco,4
15,http://dbpedia.org/ontology/party,http://dbpedia.org/resource/Republican_Party_(United_States),5
12,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/California,6
10,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Los_Angeles,7
8,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/United_States,8
7,http://dbpedia.org/ontology/diocese,http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Los_Angeles,9
6,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Americans,10
5,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/United_States,11
5,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_York_City,11
5,http://dbpedia.org/ontology/religion,http://dbpedia.org/resource/Catholic_Church,11
5,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/San_Diego,11
4,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Harvard_University,15
4,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/United_States,15
4,http://dbpedia.org/ontology/almaMater,"http://dbpedia.org/resource/University_of_California,_Los_Angeles",15
4,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Santa_Clara_University,15
4,http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Head_coach,15
4,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Stanford_University,15
4,http://dbpedia.org/ontology/almaMater,"http://dbpedia.org/resource/University_of_California,_Berkeley",15
3,http://dbpedia.org/ontology/restingPlace,"http://dbpedia.org/resource/Holy_Cross_Cemetery,_Culver_City",22
3,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Omaha,_Nebraska",22
3,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Philadelphia,22
3,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Long_Beach,_California",22
3,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_San_Francisco,22
3,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Oxnard,_California",22
3,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Oakland,_California",22
3,http://dbpedia.org/ontology/diocese,http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Monterey_in_California,22
3,http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/resource/Chicago_Bears,22
3,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Presidential_Medal_of_Freedom,22
2,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Sacramento,_California",32
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Stanford_University,32
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Southern_California,32
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Saint_Patrick's_Seminary_and_University,32
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/List_of_NBA_champions,32
2,http://dbpedia.org/ontology/militaryBranch,http://dbpedia.org/resource/United_States_Navy,32
2,http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/San_Diego,32
2,http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/resource/Santa_Barbara_Cemetery,32
2,http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/resource/Calvary_Cemetery_(Los_Angeles),32
2,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Santa_Barbara,_California",32
2,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Bachelor_of_Arts,32
2,http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Running_back,32
2,http://dbpedia.org/ontology/diocese,http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_San_Francisco,32
2,http://dbpedia.org/ontology/honours,http://dbpedia.org/resource/Bronze_Star_Medal,32
2,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Los_Gatos,_California",32
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/NBA_All-Rookie_Team,32
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/All-NBA_Team,32
2,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Southern_Methodist_University,32
2,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Georgetown_University,32
2,http://dbpedia.org/ontology/relative,http://dbpedia.org/resource/Georgiana_Young,32
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/NBA_All-Defensive_Team,32
2,http://dbpedia.org/ontology/diocese,http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Portland_in_Oregon,32
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kentucky,32
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Fordham_University,32
2,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Lobbying,32
2,http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Shooting_guard,32
2,http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Catcher,32
2,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Beverly_Hills,_California",32
2,http://dbpedia.org/ontology/almaMater,"http://dbpedia.org/resource/California_Polytechnic_State_University,_San_Luis_Obispo",32
2,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Burbank,_California",32
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_York_(state),32
2,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Sacramento,_California",32
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Mount_St._Mary's_University_(Los_Angeles),32
2,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/United_States,32
2,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Juris_Doctor,32
2,http://dbpedia.org/ontology/position,http://dbpedia.org/resource/Outfielder,32
2,http://dbpedia.org/ontology/diocese,http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Oakland,32
2,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Santa_Monica,_California",32
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Honolulu,32
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/List_of_NBA_All-Stars,32
2,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Master_of_Arts,32
2,http://dbpedia.org/ontology/party,http://dbpedia.org/resource/Independent_politician,32
2,http://dbpedia.org/ontology/diocese,http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Boise,32
2,http://dbpedia.org/ontology/diocese,http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Seattle,32
2,http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/resource/Los_Angeles,32
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Salt_Lake_City,32
2,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/San_Francisco,32
2,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Woodland_Hills,_Los_Angeles",32
2,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Poet,32
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Columbia_Records,32
2,http://dbpedia.org/ontology/relative,http://dbpedia.org/resource/Polly_Ann_Young,32
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/The_Bronx,32
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Illinois,32
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Gonzaga_University,32
2,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Yale_University,32
2,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Loyola_Marymount_University,32
2,http://dbpedia.org/ontology/residence,http://dbpedia.org/resource/California,32
2,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/San_Jose,_California",32
2,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Palm_Springs,_California",32
2,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Columbia_University,32
2,http://dbpedia.org/ontology/residence,"http://dbpedia.org/resource/Torrance,_California",32
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Orange,_California",93
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Mariposa,_California",93
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Monterey,_California",93
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Quincy,_Illinois",93
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Whittier,_California",93
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Thal,_Styria",93
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cincinnati,93
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Buffalo,_New_York",93
1,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Newbury_Park,_California",93
1,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/San_Luis,_Arizona",93
1,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/San_Diego_State_University,93
1,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/New_York_University,93
1,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Harvard_University,93
1,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Loma_Linda_University,93
1,http://dbpedia.org/ontology/almaMater,"http://dbpedia.org/resource/University_of_California,_Santa_Barbara",93
1,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/UC_Davis_School_of_Law,93
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Nitty_Gritty_Dirt_Band,93
1,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/NBA_Finals_Most_Valuable_Player_Award,93
1,http://dbpedia.org/ontology/battle,http://dbpedia.org/resource/World_War_II,93
1,http://dbpedia.org/ontology/child,http://dbpedia.org/resource/Ronan_Farrow,93
1,http://dbpedia.org/ontology/child,http://dbpedia.org/resource/Soon-Yi_Previn,93
1,http://dbpedia.org/ontology/education,"http://dbpedia.org/resource/University_of_California,_Los_Angeles",93
1,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Antelope_Valley_College,93
1,http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/resource/History_of_the_San_Diego_Chargers,93
1,http://dbpedia.org/ontology/formerTeam,http://dbpedia.org/resource/Tampa_Cardinals,93
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Alternative_metal,93
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/West_Coast_jazz,93
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Hip_hop_music,93
1,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/Nikolai_Berdyaev,93
1,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/Jacques_Maritain,93
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/The_Miracle_Season,93
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Twitter,93
