freq,p,o,rank
30,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Privately_held_company,1
28,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/New_York_City,2
19,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/New_York_City,3
19,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Public_company,3
18,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chief_executive_officer,5
16,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Subsidiary,6
15,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Financial_services,7
15,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/United_States,7
13,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chairperson,9
12,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/New_York_(state),10
12,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Manhattan,10
9,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/resource/New_York_City,12
8,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Mass_media,13
7,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Retail,14
6,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Asset_management,15
6,http://dbpedia.org/ontology/regionServed,http://dbpedia.org/resource/United_States,15
6,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/resource/New_York_(state),15
6,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/New_York_(state),15
5,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/President_(corporate_title),19
5,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/Manhattan,19
5,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Investment_banking,19
5,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Real_estate,19
5,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Investment_management,19
4,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Commodity,24
4,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Mutual_fund,24
4,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Credit_card,24
4,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chief_operating_officer,24
4,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Entertainment,24
4,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/United_States,24
4,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/New_York_(state),24
