freq,p,o,rank
7,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/Microsoft_Windows,1
6,http://dbpedia.org/ontology/license,http://dbpedia.org/resource/Proprietary_software,2
5,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/MacOS,3
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/File_archiver,4
4,http://dbpedia.org/ontology/license,http://dbpedia.org/resource/Shareware,4
3,http://dbpedia.org/ontology/license,http://dbpedia.org/resource/Freeware,6
2,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Data_compression,7
2,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/Smith_Micro_Software,7
2,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/Linux,7
2,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/resource/Delphi_(software),7
2,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/Android_(operating_system),7
1,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/IA-32,12
1,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/Windows_2000,12
1,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/NortonLifeLock,12
1,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/Corel,12
1,http://dbpedia.org/ontology/developer,"http://dbpedia.org/resource/Addstor,_Inc.",12
1,http://dbpedia.org/ontology/license,http://dbpedia.org/resource/GNU_Lesser_General_Public_License,12
1,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/Ken_Silverman,12
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Command_(computing),12
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Disk_compression,12
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Video_codec,12
1,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chairperson,12
1,http://dbpedia.org/ontology/license,http://dbpedia.org/resource/Adware,12
1,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/IBM_i,12
1,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/DOS,12
1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/resource/C_(programming_language),12
1,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/London,12
1,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Ken_Silverman,12
1,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/32-bit_computing,12
1,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/ESTsoft,12
1,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/Ramka_Ltd.,12
1,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chief_executive_officer,12
1,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/Allume_Systems,12
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/CD_ripper,12
1,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chief_operating_officer,12
1,http://dbpedia.org/ontology/license,http://dbpedia.org/resource/Permissive_software_license,12
1,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/Unix,12
1,http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/resource/United_Kingdom,12
1,http://dbpedia.org/ontology/programmingLanguage,http://dbpedia.org/resource/Assembly_language,12
1,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Phil_Katz,12
1,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Data_compression,12
1,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Private_limited_company,12
1,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/64-bit_computing,12
1,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/Unix-like,12
1,http://dbpedia.org/ontology/operatingSystem,http://dbpedia.org/resource/IOS,12
