freq,p,o,rank
7,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Pop_music,1
3,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Synth-pop,2
3,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Singing,2
3,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Rock_music,2
3,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,2
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Liverpool,6
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Atlantic_Records,6
2,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Disco,6
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Polydor_Records,6
2,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Musician,6
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Bertelsmann_Music_Group,6
2,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Piano,6
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/England,6
2,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Rock_and_roll,6
2,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Record_producer,6
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Blackpool,6
2,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Songwriter,6
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Decca_Records,6
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cleethorpes,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Martin_Solveig,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Martin_Solveig,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Cashmere_Cat,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Bright_Light_Bright_Light,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Hawksley_Workman,19
1,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/List_of_awards_and_nominations_received_by_Paul_McCartney,19
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Vocal_jazz,19
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Walthamstow,19
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Watford,19
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Southampton,19
1,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Yamaha_Tenori-on,19
1,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Stylophone,19
1,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/John_Lennon__PersonFunction__1,19
1,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Audio_engineer,19
1,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Mixing_engineer,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Lioness_Records,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Epic_Records,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Fantastic_Plastic_Records,19
1,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Gwyneth_Paltrow,19
1,http://dbpedia.org/ontology/partner,http://dbpedia.org/resource/Jane_Asher,19
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Essex,19
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Middlesex,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Michael_Calfan,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Ultra_(British_band),19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Ed_Sheeran,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Gwyneth_Herbert,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Nick_Mulvey,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/McFly,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Fryars,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Aurora_(singer),19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Nick_Mulvey,19
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Pop_rock,19
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Acoustic_music,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Warner_Chappell_Music,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/David_Tibet,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Dead_Oceans,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/679_Artists,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Navigator_Records,19
1,http://dbpedia.org/ontology/partner,http://dbpedia.org/resource/May_Pang,19
1,http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/resource/Central_Park,19
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Surrey,19
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Poplar,_London",19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/McFly,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Yazoo_(band),19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Michael_Jackson,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Guillemots_(band),19
1,http://dbpedia.org/ontology/child,http://dbpedia.org/resource/Mary_McCartney,19
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Jazz,19
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Art_pop,19
1,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Keyboard_instrument,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Mute_Records,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/GTO_Records,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Elektra_Records,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Philips_Records,19
1,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/David_Furnish,19
1,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Heather_Mills,19
1,http://dbpedia.org/ontology/partner,http://dbpedia.org/resource/Dakota_Johnson,19
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Pinner,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Guillemots_(band),19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Steps_(pop_group),19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Tony_Sheridan,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Roy_Young_(musician),19
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Folktronica,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Verve_Forecast_Records,19
1,http://dbpedia.org/ontology/relative,http://dbpedia.org/resource/Mimi_Smith,19
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Walthamstow,19
1,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_College_London,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Cashmere_Cat,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Carrie_Hope_Fletcher,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Heatwave_(band),19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Hawksley_Workman,19
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/The_Beatles,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Ben_Haenow,19
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Cliff_Bennett_and_the_Rebel_Rousers,19
1,http://dbpedia.org/ontology/education,http://dbpedia.org/resource/Exeter_Cathedral_School,19
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Jazz_fusion,19
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Folk_music,19
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Boogie-woogie,19
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Suffolk,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Deram_Records,19
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/MCA_Records,19
1,http://dbpedia.org/ontology/relative,http://dbpedia.org/resource/Mike_McGear,19
