freq,p,o,rank
6,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Denzel_Washington,1
6,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Denzel_Washington,1
5,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Escape_Artists,3
5,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Sony_Pictures_Motion_Picture_Group,3
4,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Todd_Black,5
3,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Denzel_Washington,6
3,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Columbia_Pictures,6
2,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Antoine_Fuqua,8
2,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/resource/Marcelo_Zarvos,8
2,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Steve_Tisch,8
2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Melissa_Leo,8
2,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/resource/Harry_Gregson-Williams,8
2,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Bron_Studios,8
2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Bill_Pullman,8
2,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Mace_Neufeld,8
2,http://dbpedia.org/ontology/editing,http://dbpedia.org/resource/Conrad_Buff_IV,8
2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Viola_Davis,8
2,http://dbpedia.org/ontology/editing,http://dbpedia.org/resource/Hughes_Winborne,8
1,http://dbpedia.org/ontology/cinematography,http://dbpedia.org/resource/Robert_Elswit,19
1,http://dbpedia.org/ontology/cinematography,http://dbpedia.org/resource/Don_Burgess_(cinematographer),19
1,http://dbpedia.org/ontology/cinematography,http://dbpedia.org/resource/Maryse_Alberti,19
1,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/George_C._Wolfe,19
1,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Hughes_brothers,19
1,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Susan_Downey,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Joy_Bryant,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Mykelti_Williamson,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Saniyya_Sidney,19
1,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Gary_Whitta,19
1,http://dbpedia.org/ontology/cinematography,http://dbpedia.org/resource/Charlotte_Bruus_Christensen,19
1,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Netflix,19
1,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Silver_Pictures,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Michael_Potts_(actor),19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Derek_Luke,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Jennifer_Beals,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Marton_Csokas,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Chanté_Adams,19
1,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Dan_Gilroy,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Pedro_Pascal,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Frances_de_la_Tour,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Michael_B._Jordan,19
1,http://dbpedia.org/ontology/cinematography,http://dbpedia.org/resource/Philippe_Rousselot,19
1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/resource/James_Newton_Howard,19
1,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Jennifer_Fox_(film_producer),19
1,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Lone_Star_Funds,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Chadwick_Boseman,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Gary_Oldman,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Ray_Stevenson,19
1,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Antwone_Fisher,19
1,http://dbpedia.org/ontology/cinematography,http://dbpedia.org/resource/Oliver_Wood_(cinematographer),19
1,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/20th_Century_Studios,19
1,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Antoine_Fuqua,19
1,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Broderick_Johnson,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Ashton_Sanders,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/David_Harbour,19
1,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/United_States,19
1,http://dbpedia.org/ontology/distributor,http://dbpedia.org/resource/Summit_Entertainment,19
1,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Joel_Silver,19
1,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Andrew_Kosove,19
1,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Scott_Rudin,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Mila_Kunis,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Jovan_Adepo,19
1,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Chloë_Grace_Moretz,19
1,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Ruben_Santiago-Hudson,19
1,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/August_Wilson,19
1,http://dbpedia.org/ontology/cinematography,http://dbpedia.org/resource/Tobias_A._Schliessler,19
1,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Alcon_Entertainment,19
