freq,p,o,rank
21,http://dbpedia.org/ontology/field,http://dbpedia.org/resource/Painting,1
20,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Italy,2
15,http://dbpedia.org/ontology/movement,http://dbpedia.org/resource/Italian_Renaissance,3
12,http://dbpedia.org/ontology/movement,http://dbpedia.org/resource/High_Renaissance,4
11,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Venice,5
11,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Italians,5
10,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Papal_States,7
10,http://dbpedia.org/ontology/movement,http://dbpedia.org/resource/Renaissance,7
10,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Italy,7
9,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Republic_of_Florence,10
9,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Republic_of_Venice,10
9,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Florence,10
8,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Florence,13
8,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Republic_of_Venice,13
7,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Venice,15
7,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Rome,15
7,http://dbpedia.org/ontology/field,http://dbpedia.org/resource/Fresco,15
7,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Italy,15
6,http://dbpedia.org/ontology/movement,http://dbpedia.org/resource/Mannerism,19
5,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Republic_of_Florence,20
4,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Republic_of_Venice,21
4,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Siena,21
3,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Mantua,23
3,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Perugia,23
3,http://dbpedia.org/ontology/field,http://dbpedia.org/resource/Sculpture,23
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Mantua,26
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Siena,26
2,http://dbpedia.org/ontology/movement,http://dbpedia.org/resource/Baroque,26
2,http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/resource/Rome,26
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ferrara,26
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Lombardy,26
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Veneto,26
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sansepolcro,26
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Papal_States,26
2,http://dbpedia.org/ontology/training,http://dbpedia.org/resource/Giovanni_Bellini,26
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Tuscany,26
2,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Ferrara,26
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Verona,26
2,http://dbpedia.org/ontology/training,http://dbpedia.org/resource/Pietro_Perugino,26
2,http://dbpedia.org/ontology/training,http://dbpedia.org/resource/Filippo_Lippi,26
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cortona,26
2,http://dbpedia.org/ontology/field,http://dbpedia.org/resource/Architecture,26
