freq,p,o,rank
15,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Benue–Congo_languages,1
15,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Atlantic–Congo_languages,1
13,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Namibia,3
9,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Angola,4
8,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Southern_Bantoid_languages,5
8,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Bantu_languages,5
7,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Volta–Congo_languages,7
7,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Bantoid_languages,7
7,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Zambia,7
6,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Botswana,10
6,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Okavango_River,10
4,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/South_Africa,12
3,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Khoe_languages,13
2,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Germanic_languages,14
2,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/West_Germanic_languages,14
2,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Ovamboland,14
2,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Zambezi,14
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Khoekhoe_language,18
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/ǃKung_languages,18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Damaraland,18
1,http://dbpedia.org/ontology/languageRegulator,http://dbpedia.org/resource/Die_Taalkommissie,18
1,http://dbpedia.org/ontology/soundRecording,http://dbpedia.org/resource/German_language__Sound__1,18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Orange_River,18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Zimbabwe,18
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Kxʼa_languages,18
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Low_Franconian,18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Kavango_Region,18
1,http://dbpedia.org/ontology/spokenIn,"http://dbpedia.org/resource/Western_Province,_Zambia",18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Namaqualand,18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Democratic_Republic_of_the_Congo,18
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Paget_Gorman_Sign_System,18
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Weser-Rhine_Germanic,18
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/High_German_languages,18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Zambezi_Region,18
