freq,p,o,rank
2053,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Microsoft_Windows,1
1869,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/MacOS,2
1040,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Linux,3
599,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/IOS,4
557,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_4,5
481,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Android_(operating_system),6
468,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Xbox_One,7
458,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Nintendo_Switch,8
449,http://dbpedia.org/ontology/gameEngine,http://dbpedia.org/resource/Unity_(game_engine),9
353,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Adventure_game,10
254,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_3,11
252,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Xbox_360,12
224,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Platform_game,13
172,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Puzzle_video_game,14
171,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/First-person_shooter,15
147,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Role-playing_video_game,16
137,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_Vita,17
131,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Action-adventure_game,18
105,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Real-time_strategy,19
97,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Action_game,20
93,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Wii_U,21
92,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Wii,22
91,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Macintosh_operating_systems,23
87,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Action_role-playing_game,24
86,http://dbpedia.org/ontology/gameEngine,http://dbpedia.org/resource/Unreal_Engine,25
85,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Macintosh,26
82,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_2,27
77,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Turn-based_strategy,28
77,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Electronic_Arts,28
73,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Nintendo_DS,30
73,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Xbox_(console),30
70,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Shoot_'em_up,32
69,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/MS-DOS,33
67,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_Portable,34
63,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Simulation_video_game,35
63,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Sega,35
61,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Roguelike,37
56,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Visual_novel,38
54,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Massively_multiplayer_online_role-playing_game,39
49,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Feral_Interactive,40
49,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Puzzle,40
49,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Strategy_video_game,40
48,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Survival_horror,43
48,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Nintendo_3DS,43
47,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Sports_video_game,45
44,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Stealth_game,46
44,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Devolver_Digital,46
43,http://dbpedia.org/ontology/gameEngine,http://dbpedia.org/resource/GameMaker,48
43,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Racing_game,48
42,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Ubisoft,50
