freq,p,o,rank
78,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Talk_show,1
46,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/480i,2
32,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/GMA_Network,3
28,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/NTSC,4
23,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/Philippines,5
22,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Quezon_City,6
22,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/ABS-CBN,6
16,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/1080i,8
15,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/5.1_surround_sound,9
14,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/TV5_(Philippine_TV_network),10
12,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/ABS-CBN_Corporation,11
11,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/ABS-CBN_Broadcasting_Center,12
9,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/TV5_Network,13
8,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Philippines,14
8,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Boy_Abunda,14
8,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Louie_Ignacio,14
7,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/ABS-CBN_Corporation,17
7,http://dbpedia.org/ontology/channel,http://dbpedia.org/resource/ABS-CBN,17
6,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Viva_Television,19
6,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Cristy_Fermin,19
6,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Kris_Aquino,19
6,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Tabloid_talk_show,19
6,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/People's_Television_Network,19
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Comedy,24
5,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/Filipino_language,24
5,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/English_language,24
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Lifestyle_(social_sciences),24
5,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/GMA_News_and_Public_Affairs,24
5,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/GMA_News_TV,24
5,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Mandaluyong,24
5,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/TV5_Media_Center,24
5,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/ABS-CBN,24
4,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Carmina_Villarroel,33
4,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/ABS-CBN_News_and_Current_Affairs,33
4,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Broadcast_City,33
4,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/News5,33
4,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Kris_Aquino,33
4,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Gelli_de_Belen,33
4,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/High-definition_television,33
4,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Viva_Entertainment,33
4,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Ai-Ai_delas_Alas,33
3,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/ABS-CBN,42
3,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/Tagalog_language,42
3,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Mel_Tiangco,42
3,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/Cignal_TV,42
3,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Reality_television,42
3,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/TAPE_Inc.,42
3,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Jean_Garcia,42
3,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Joey_de_Leon,42
3,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Janice_de_Belen,42
3,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/John_Lapus,42
3,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/Q_(TV_network),42
3,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Metro_Manila,42
3,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/Intercontinental_Broadcasting_Corporation,42
3,http://dbpedia.org/ontology/channel,http://dbpedia.org/resource/TV5_(Philippine_TV_network),42
3,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Edu_Manzano,42
3,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Boy_Abunda,42
3,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Ali_Sotto,42
3,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Martin_Nievera,42
2,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/GMA_Network_Center,60
2,http://dbpedia.org/ontology/related,http://dbpedia.org/resource/Aquino_&_Abunda_Tonight,60
2,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Gladys_Reyes,60
2,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Makati,60
2,http://dbpedia.org/ontology/executiveProducer,http://dbpedia.org/resource/Wilma_V._Galvante,60
