freq,p,o,rank
36,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/German_language,1
10,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Bavaria,2
8,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/North_Rhine-Westphalia,3
7,http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/resource/Germany,4
7,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Saxony-Anhalt,4
7,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Thuringia,4
7,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Hesse,4
7,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Saxony,4
6,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/Germany,9
6,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Bremen_(state),9
5,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Contemporary_hit_radio,11
5,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Digital_Audio_Broadcasting,11
4,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Berlin,13
4,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Brandenburg,13
4,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Berlin,13
4,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Cologne,13
3,http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Deutschlandradio,17
3,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Adult_contemporary_music,17
3,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Lower_Saxony,17
3,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Internet,17
3,http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/resource/Deutschlandradio,17
3,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Hamburg,17
3,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Speech,17
3,http://dbpedia.org/ontology/broadcastNetwork,http://dbpedia.org/resource/ARD_(broadcaster),17
2,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Baden-Württemberg,25
2,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/DVB-C,25
2,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Schleswig-Holstein,25
2,http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Westdeutscher_Rundfunk,25
2,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Traffic_reporting,25
2,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/All-news_radio,25
2,http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/resource/Deutschlandfunk,25
2,http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/resource/Deutschlandfunk_Nova,25
2,http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/resource/Deutschlandfunk_Kultur,25
2,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Germany,25
1,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/France,35
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Alternative_rock,35
1,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Rhineland-Palatinate,35
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Community_radio,35
1,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Central_West_Berlin,35
1,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/North_Rhine-Westphalia,35
1,http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Südwestrundfunk,35
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Culture,35
1,http://dbpedia.org/ontology/service,http://dbpedia.org/resource/Radio,35
1,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Leipzig,35
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Radio_art,35
1,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Balderschwang,35
1,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Karola_Wille,35
1,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Germany,35
1,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Rostock,35
1,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/Cologne,35
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/News,35
1,http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/RTL_Group,35
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Popular_music,35
1,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Public_broadcasting,35
