freq,p,o,rank
48,http://dbpedia.org/ontology/artist,http://dbpedia.org/resource/Red_Hot_Chili_Peppers,1
46,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Anthony_Kiedis,2
46,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Flea_(musician),2
40,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Chad_Smith,4
38,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Warner_Records,5
34,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Rick_Rubin,6
31,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/John_Frusciante,7
27,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Alternative_rock,8
22,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Funk_rock,9
9,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Funk_metal,10
8,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/EMI,11
7,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Michael_Beinhorn,12
7,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Josh_Klinghoffer,12
7,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/Stadium_Arcadium,12
6,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Capitol_Records,15
6,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/Californication_(album),15
5,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/By_the_Way,17
5,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/Mother's_Milk,17
5,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/Blood_Sugar_Sex_Magik,17
5,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/I'm_with_You_(album),17
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Psychedelic_rock,17
4,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Danger_Mouse_(musician),22
4,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Dave_Navarro,22
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Rap_rock,22
4,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/One_Hot_Minute,22
4,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/The_Getaway_(Red_Hot_Chili_Peppers_album),22
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Funk,22
3,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Single_(music),28
3,http://dbpedia.org/ontology/musicType,http://dbpedia.org/resource/Single_(music),28
3,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Hard_rock,28
