freq,p,o,rank
39,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Roadrunner_Records,1
37,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Corey_Taylor,2
28,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Jim_Root,3
27,http://dbpedia.org/ontology/artist,http://dbpedia.org/resource/Slipknot_(band),4
13,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Nu_metal,5
12,http://dbpedia.org/ontology/artist,http://dbpedia.org/resource/Stone_Sour,6
11,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Shawn_Crahan,7
11,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Joey_Jordison,7
10,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Alternative_metal,9
9,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Single_(music),10
9,http://dbpedia.org/ontology/musicType,http://dbpedia.org/resource/Single_(music),10
9,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Nick_Raskulinecz,10
9,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Greg_Fidelman,10
9,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Paul_Gray_(American_musician),10
8,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/.5:_The_Gray_Chapter,15
8,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Thrash_metal,15
8,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Josh_Rand,15
7,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Mick_Thomson,18
6,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Craig_Jones_(musician),19
6,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Sid_Wilson,19
6,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Chris_Fehn,19
5,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Dave_Fortman,22
5,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/We_Are_Not_Your_Kind,22
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Post-grunge,22
5,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/All_Hope_Is_Gone,22
5,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/Come_What(ever)_May,22
4,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/Audio_Secrecy,27
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Hard_rock,27
4,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Rick_Rubin,27
4,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Ross_Robinson,27
3,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Roy_Mayorga,31
3,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/Iowa_(album),31
3,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/Vol._3:_(The_Subliminal_Verses),31
3,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Slipknot_(band),31
3,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Alternative_rock,31
2,http://dbpedia.org/ontology/musicType,http://dbpedia.org/resource/Promotional_recording,36
2,http://dbpedia.org/ontology/recordedIn,http://dbpedia.org/resource/Sound_Farm_Studio_&_Recording_Environment,36
2,http://dbpedia.org/ontology/subsequentWork,http://dbpedia.org/resource/Vermilion_(song),36
2,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Promotional_recording,36
2,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Heavy_metal_music,36
2,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/David_Bottrill,36
1,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/Slipknot_(album),42
