freq,p,o,rank
61,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Death_metal,1
29,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Stockholm,2
24,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Sweden,3
19,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Century_Media_Records,4
18,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Melodic_death_metal,5
16,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Black_metal,6
15,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Nuclear_Blast,7
14,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Thrash_metal,8
12,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Entombed_(band),9
12,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Entombed_(band),9
9,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Metal_Blade_Records,11
6,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Technical_death_metal,12
6,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Bloodbath,12
6,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Gothenburg,12
6,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Relapse_Records,12
6,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Bloodbath,12
6,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Blackened_death_metal,12
6,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Candlelight_Records,12
5,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Nihilist_(band),19
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Progressive_metal,19
5,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/resource/Lars-Göran_Petrov,19
5,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Nihilist_(band),19
5,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Death-doom,19
4,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Therion_(band),24
4,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Tiamat_(band),24
4,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/In_Flames,24
4,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Napalm_Records,24
4,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Katatonia,24
4,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Tiamat_(band),24
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Grindcore,24
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Gothic_metal,24
4,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Doom_metal,24
4,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Peaceville_Records,24
4,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Therion_(band),24
4,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Dismember_(band),24
4,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Dismember_(band),24
4,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Earache_Records,24
4,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/No_Fashion_Records,24
4,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Katatonia,24
4,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Regain_Records,24
4,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/In_Flames,24
4,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Black_Mark_Production,24
3,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Entombed_A.D.,43
3,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Grave_(band),43
3,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Disfear,43
