freq,p,o,rank
19,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Physics,1
11,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Fellow_of_the_Royal_Society,2
6,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Thermodynamics,3
5,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Physical_chemistry,4
5,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,4
5,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Matteucci_Medal,4
4,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Paris,7
4,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Vienna,7
4,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Copley_Medal,7
4,http://dbpedia.org/ontology/citizenship,http://dbpedia.org/resource/United_States,7
4,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Max_Planck_Medal,7
4,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Thermodynamics,7
4,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Chemistry,7
4,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Edinburgh,7
3,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Mechanical_engineering,15
3,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Phase_space,15
3,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Keith_Medal,15
3,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Second_law_of_thermodynamics,15
3,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Rumford_Prize,15
3,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/Ludwig_Boltzmann,15
3,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/Ernst_Mach,15
3,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,15
3,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kingdom_of_Prussia,15
3,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Theoretical_physics,15
3,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/United_Kingdom,15
3,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/China,15
3,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Vienna,15
3,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Massachusetts_Institute_of_Technology,15
3,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Statistical_mechanics,15
3,http://dbpedia.org/ontology/institution,http://dbpedia.org/resource/University_of_Göttingen,15
2,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Edinburgh,31
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Harvard_University,31
2,http://dbpedia.org/ontology/influenced,http://dbpedia.org/resource/Pierre_Duhem,31
2,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/Rudolf_Clausius,31
2,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/United_States,31
2,http://dbpedia.org/ontology/institution,http://dbpedia.org/resource/Humboldt_University_of_Berlin,31
2,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Kingdom_of_Prussia,31
2,http://dbpedia.org/ontology/academicAdvisor,http://dbpedia.org/resource/William_Hopkins,31
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Edinburgh,31
2,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/United_States,31
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Smith's_Prize,31
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Franklin_Medal,31
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Willard_Gibbs_Award,31
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Lorentz_Medal,31
2,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Physicist,31
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Max_Jakob_Memorial_Award,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Heat_transfer,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Maxwell–Boltzmann_statistics,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Chemical_thermodynamics,31
2,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/French_people,31
2,http://dbpedia.org/ontology/doctoralAdvisor,http://dbpedia.org/resource/John_Archibald_Wheeler,31
2,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Belgium,31
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Royal_Medal,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Clausius–Clapeyron_relation,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Maxwell–Boltzmann_distribution,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Gibbs–Helmholtz_equation,31
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Belgium,31
2,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Brussels,31
2,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/Josiah_Willard_Gibbs,31
2,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/Immanuel_Kant,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Entropy,31
2,http://dbpedia.org/ontology/institution,http://dbpedia.org/resource/University_of_Cambridge,31
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Poland,31
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Princeton_University,31
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Worcester_Reed_Warner,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Heat_death_paradox,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/H-theorem,31
2,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Lincoln,_Massachusetts",31
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Humboldt_University_of_Berlin,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Redlich–Kwong_equation_of_state,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Maxwell's_thermodynamic_surface,31
2,http://dbpedia.org/ontology/institution,http://dbpedia.org/resource/Université_libre_de_Bruxelles,31
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Rumford_Medal,31
2,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Boltzmann_distribution,31
2,http://dbpedia.org/ontology/institution,"http://dbpedia.org/resource/University_of_Maryland,_College_Park",31
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Austria-Hungary,31
2,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/École_Polytechnique,31
2,http://dbpedia.org/ontology/influenced,"http://dbpedia.org/resource/William_Thomson,_1st_Baron_Kelvin",31
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Athens,31
2,http://dbpedia.org/ontology/academicAdvisor,http://dbpedia.org/resource/Max_Born,31
2,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Mathematics,31
2,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Chemistry,31
2,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Belgians,31
2,http://dbpedia.org/ontology/institution,http://dbpedia.org/resource/Massachusetts_Institute_of_Technology,31
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Nolay,_Côte-d'Or",85
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Isfahan,85
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Mexico_City,85
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/German_Confederation,85
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Manchester,85
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Augsburg,85
1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Magdeburg,85
1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Helsinki,85
1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Florida,85
1,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Wellington,85
1,http://dbpedia.org/ontology/academicAdvisor,http://dbpedia.org/resource/Gustav_Kirchhoff,85
1,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Calculus_of_variations,85
1,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Real_analysis,85
1,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/University_of_Graz,85
1,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Yale_College,85
1,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/resource/Collège_de_France,85
1,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Davy_Medal,85
1,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Heat_Transfer_Memorial_Award,85
1,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Adams_Prize,85
1,http://dbpedia.org/ontology/influenced,http://dbpedia.org/resource/Émile_Jouguet,85
1,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/James_Clerk_Maxwell,85
1,http://dbpedia.org/ontology/influencedBy,http://dbpedia.org/resource/Hu_Shih,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Non-equilibrium_thermodynamics,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Dissipative_system,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Rankine–Hugoniot_conditions,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Rankine_cycle,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Potential_energy,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Rankine_scale,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Operationalization,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Fermi's_interaction,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Nuclear_chain_reaction,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Quantum_entanglement,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Uncertainty_principle,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Qualia,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Nernst_heat_theorem,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Kelvin's_circulation_theorem,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Poincaré–Birkhoff–Witt_theorem,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Three-body_problem,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Hilbert–Poincaré_series,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Poincaré_conjecture,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Homological_algebra,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Poincaré–Lindstedt_method,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Qualitative_theory_of_differential_equations,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Limit_cycle,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Helmholtz's_theorems,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Schismatic_temperament,85
1,http://dbpedia.org/ontology/knownFor,http://dbpedia.org/resource/Kelvin–Helmholtz_instability,85
