freq,p,o,rank,sum_freq,freq_dbpedia,tf,idf,tf_idf,rank_tf_idf
30,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Privately_held_company,1,1078,13006,0.027829313543599257,6.239964349462709,0.1736539243820791,3
28,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/New_York_City,2,1078,3415,0.025974025974025976,7.577197645886916,0.19681032846459523,1
19,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/New_York_City,3,1078,339,0.017625231910946195,9.887130310511356,0.17426296465650812,2
19,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Public_company,3,1078,7290,0.017625231910946195,6.818871592889103,0.12018419319563353,4
18,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chief_executive_officer,5,1078,7323,0.016697588126159554,6.814355058830737,0.1137832941177674,5
16,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Subsidiary,6,1078,4702,0.014842300556586271,7.257387188791792,0.10771632191156648,7
15,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Financial_services,7,1078,2536,0.013914656771799629,7.87478710233469,0.10957495967998176,6
15,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/United_States,7,1078,66742,0.013914656771799629,4.604540698999184,0.06407060341835599,13
13,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chairperson,9,1078,3360,0.012059369202226345,7.593434164934557,0.09157202610774512,9
12,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/New_York_(state),10,1078,2731,0.011131725417439703,7.800707296418102,0.08683533168554473,10
12,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Manhattan,10,1078,954,0.011131725417439703,8.85246674644352,0.09854322908842508,8
9,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/resource/New_York_City,12,1078,722,0.008348794063079777,9.13110527899898,0.0762337175426631,11
8,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Mass_media,13,1078,518,0.0074211502782931356,9.463155175632323,0.07022749666517494,12
7,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Retail,14,1078,2071,0.006493506493506494,8.077343556496222,0.05245028283439106,18
6,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Asset_management,15,1078,177,0.0055658627087198514,10.536980685317976,0.058647387858912665,15
6,http://dbpedia.org/ontology/regionServed,http://dbpedia.org/resource/United_States,15,1078,1395,0.0055658627087198514,8.472480723636341,0.04715666451003529,20
6,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/resource/New_York_(state),15,1078,324,0.0055658627087198514,9.932386902099477,0.05528230186697297,17
6,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/New_York_(state),15,1078,135,0.0055658627087198514,10.807855639453377,0.0601550406648611,14
5,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/President_(corporate_title),19,1078,1654,0.00463821892393321,8.30217854230817,0.03850732162480598,25
5,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/Manhattan,19,1078,22,0.00463821892393321,12.62208796453349,0.05854400725664884,16
5,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Investment_banking,19,1078,414,0.00463821892393321,9.687264444066493,0.04493165326561453,23
5,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Real_estate,19,1078,406,0.00463821892393321,9.706777258290074,0.04502215796980554,22
5,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Investment_management,19,1078,190,0.00463821892393321,10.46610634573132,0.04854409251266847,19
4,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Commodity,24,1078,22,0.0037105751391465678,12.62208796453349,0.04683520580531907,21
4,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Mutual_fund,24,1078,76,0.0037105751391465678,11.382397077605475,0.04223523962005742,24
4,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Credit_card,24,1078,432,0.0037105751391465678,9.644704829647695,0.035787401965297574,28
4,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chief_operating_officer,24,1078,564,0.0037105751391465678,9.378076166393747,0.03479805627604359,30
4,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Entertainment,24,1078,734,0.0037105751391465678,9.114621389277291,0.033820487529785864,32
4,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/United_States,24,1078,13888,0.0037105751391465678,6.174349980991675,0.022910389539857794,73
4,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/New_York_(state),24,1078,3173,0.0037105751391465678,7.650697626308611,0.028388488409308393,40
4,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Chief_financial_officer,24,1078,1070,0.0037105751391465678,8.737716490435854,0.03242195358232228,34
3,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Risk_management,32,1078,23,0.0027829313543599257,12.577636201962656,0.035002698150174365,29
3,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Limited_liability_partnership,32,1078,333,0.0027829313543599257,9.904987927911362,0.027564901469141083,51
3,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Architecture,32,1078,152,0.0027829313543599257,10.68924989704553,0.029747448693076613,38
3,http://dbpedia.org/ontology/service,http://dbpedia.org/resource/Architecture,32,1078,61,0.0027829313543599257,11.602256553718496,0.032288283544671136,35
3,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/resource/Rupert_Murdoch,32,1078,11,0.0027829313543599257,13.315235145093435,0.037055385375955756,26
3,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Stock_trader,32,1078,13,0.0027829313543599257,13.14818106043027,0.03659048532587274,27
3,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Private_equity,32,1078,151,0.0027829313543599257,10.695850581076883,0.029765817943627686,37
3,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Commercial_bank,32,1078,361,0.0027829313543599257,9.824252459558926,0.027340220202854152,52
3,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Wealth_management,32,1078,156,0.0027829313543599257,10.66327441064227,0.02967516069752023,39
3,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/New_York_City,32,1078,5811,0.0027829313543599257,7.045622465816701,0.01960748367110399,89
3,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Clothing,32,1078,527,0.0027829313543599257,9.445929869350444,0.026287374404500307,57
3,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Bank,32,1078,1139,0.0027829313543599257,8.675224454444624,0.024142554140383927,66
3,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Publishing,32,1078,46,0.0027829313543599257,11.884489021402711,0.03307371712820791,33
3,http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/resource/United_States,32,1078,1996,0.0027829313543599257,8.114229961020397,0.02258134497501038,75
3,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Bank,32,1078,266,0.0027829313543599257,10.129634109110107,0.02819007637043629,41
3,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Cable_television,32,1078,147,0.0027829313543599257,10.72269783111307,0.029840531997531734,36
3,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Technology,32,1078,269,0.0027829313543599257,10.118419038289968,0.028158865598209556,42
3,http://dbpedia.org/ontology/regionServed,http://dbpedia.org/resource/New_York_metropolitan_area,32,1078,34,0.0027829313543599257,12.186769893275645,0.03391494404436636,31
2,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/resource/Henry_Sturgis_Morgan,50,1078,2,0.0018552875695732839,15.01998323733186,0.027866388195420894,43
2,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/resource/Chief_executive_officer,50,1078,103,0.0018552875695732839,11.07840142966217,0.020553620463195123,83
2,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/resource/United_States,50,1078,1930,0.0018552875695732839,8.147855135992875,0.01511661435249142,100
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Investment_management,50,1078,168,0.0018552875695732839,10.589166438488547,0.019645948865470404,88
2,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/United_States,50,1078,25200,0.0018552875695732839,5.578531144392292,0.010349779488668446,653
2,http://dbpedia.org/ontology/owningCompany,http://dbpedia.org/resource/The_Walt_Disney_Company,50,1078,89,0.0018552875695732839,11.224494048159666,0.020824664282299937,81
2,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Mortgage_loan,50,1078,487,0.0018552875695732839,9.524866294809216,0.01767136603860708,99
2,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Pay_television,50,1078,50,0.0018552875695732839,11.80110741246366,0.021894447889542968,79
2,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Broker,50,1078,64,0.0018552875695732839,11.554247334532135,0.021436451455532718,80
2,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/resource/Aaron_Burr,50,1078,2,0.0018552875695732839,15.01998323733186,0.027866388195420894,43
2,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/resource/Kevin_P._Ryan,50,1078,4,0.0018552875695732839,14.326836056771915,0.02658040084744326,55
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Infrastructure,50,1078,48,0.0018552875695732839,11.841929406983915,0.021970184428541588,77
2,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Ann_Sarnoff,50,1078,5,0.0018552875695732839,14.103692505457706,0.026166405390459568,58
2,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Fashion_accessory,50,1078,246,0.0018552875695732839,10.207798881959443,0.01893840237840342,92
2,http://dbpedia.org/ontology/regionServed,http://dbpedia.org/resource/Multinational_corporation,50,1078,23,0.0018552875695732839,12.577636201962656,0.023335132100116247,70
2,http://dbpedia.org/ontology/service,http://dbpedia.org/resource/Urban_design,50,1078,27,0.0018552875695732839,12.417293551887477,0.023037650374559328,72
2,http://dbpedia.org/ontology/service,http://dbpedia.org/resource/Historic_preservation,50,1078,7,0.0018552875695732839,13.767220268836493,0.02554215263234971,62
2,http://dbpedia.org/ontology/service,http://dbpedia.org/resource/Sustainable_design,50,1078,20,0.0018552875695732839,12.717398144337816,0.023594430694504297,68
2,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/United_States,50,1078,7329,0.0018552875695732839,6.8135360579659565,0.012641068753183594,544
2,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/resource/1211_Avenue_of_the_Americas,50,1078,8,0.0018552875695732839,13.63368887621197,0.025294413499465623,63
2,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Lachlan_Murdoch,50,1078,3,0.0018552875695732839,14.614518129223697,0.02711413382045213,53
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Biotechnology,50,1078,328,0.0018552875695732839,9.920116809507663,0.01840466940539455,96
2,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Rupert_Murdoch,50,1078,4,0.0018552875695732839,14.326836056771915,0.02658040084744326,55
2,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Prime_brokerage,50,1078,5,0.0018552875695732839,14.103692505457706,0.026166405390459568,58
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/New_York_City,50,1078,10801,0.0018552875695732839,6.425736416473332,0.01192158889883735,578
2,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/James_P._Gorman,50,1078,2,0.0018552875695732839,15.01998323733186,0.027866388195420894,43
2,http://dbpedia.org/ontology/product,http://dbpedia.org/resource/Private_banking,50,1078,194,0.0018552875695732839,10.445272258828478,0.019378983782613133,90
2,http://dbpedia.org/ontology/legalForm,http://dbpedia.org/resource/Limited_liability_partnership,50,1078,259,0.0018552875695732839,10.156302356192269,0.01884286151427137,94
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Real_estate_development,50,1078,116,0.0018552875695732839,10.959540226785442,0.0203330987509934,85
2,http://dbpedia.org/ontology/parentCompany,http://dbpedia.org/resource/LVMH,50,1078,21,0.0018552875695732839,12.668607980168384,0.02350391090940331,69
2,http://dbpedia.org/ontology/subsidiary,http://dbpedia.org/resource/List_of_assets_owned_by_News_Corp,50,1078,2,0.0018552875695732839,15.01998323733186,0.027866388195420894,43
2,http://dbpedia.org/ontology/headquarter,http://dbpedia.org/resource/30_Hudson_Yards,50,1078,2,0.0018552875695732839,15.01998323733186,0.027866388195420894,43
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Professional_services,50,1078,128,0.0018552875695732839,10.86110015397219,0.020150464107555083,86
2,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Fifth_Avenue,50,1078,38,0.0018552875695732839,12.07554425816542,0.022403607158006347,76
2,http://dbpedia.org/ontology/foundedBy,http://dbpedia.org/resource/Harold_Stanley,50,1078,2,0.0018552875695732839,15.01998323733186,0.027866388195420894,43
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Fashion,50,1078,303,0.0018552875695732839,9.999397612382436,0.018551758093473907,95
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Advertising,50,1078,200,0.0018552875695732839,10.414813051343769,0.019322473193587698,91
2,http://dbpedia.org/ontology/industry,http://dbpedia.org/resource/Marketing,50,1078,147,0.0018552875695732839,10.72269783111307,0.01989368799835449,87
2,http://dbpedia.org/ontology/predecessor,http://dbpedia.org/resource/ViacomCBS_Domestic_Media_Networks,50,1078,2,0.0018552875695732839,15.01998323733186,0.027866388195420894,43
