freq,p,o,rank,sum_freq,freq_dbpedia,tf,idf,tf_idf,rank_tf_idf
7,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Pop_music,1,250,17362.0,0.028,5.9510912289400535,0.1666305544103215,1
3,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Synth-pop,2,250,3313.0,0.012,7.607521015591911,0.09129025218710293,3
3,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Singing,2,250,3257.0,0.012,7.624568612615573,0.09149482335138688,2
3,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Rock_music,2,250,10656.0,0.012,6.439252025111636,0.07727102430133964,6
3,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,2,250,9411.0,0.012,6.563495921033018,0.07876195105239622,5
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Liverpool,6,250,1921.0,0.008,8.15252925512325,0.06522023404098601,10
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Atlantic_Records,6,250,3953.0,0.008,7.430900354595121,0.059447202836760964,68
2,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Disco,6,250,1538.0,0.008,8.374892267826217,0.06699913814260974,9
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Polydor_Records,6,250,2324.0,0.008,7.9620852999200045,0.06369668239936004,12
2,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Musician,6,250,2633.0,0.008,7.837251258395497,0.06269801006716398,44
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Bertelsmann_Music_Group,6,250,885.0,0.008,8.927542772883877,0.07142034218307101,7
2,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Piano,6,250,2506.0,0.008,7.886687282435793,0.06309349825948635,13
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/England,6,250,12680.0,0.008,6.26534918990059,0.05012279351920472,125
2,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Rock_and_roll,6,250,2063.0,0.008,8.081213904820554,0.06464971123856443,11
2,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Record_producer,6,250,3754.0,0.008,7.482553200745352,0.059860425605962816,67
2,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Blackpool,6,250,220.0,0.008,10.319502871539445,0.08255602297231557,4
2,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Songwriter,6,250,2838.0,0.008,7.762275560171818,0.06209820448137455,45
2,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Decca_Records,6,250,1286.0,0.008,8.553838513094242,0.06843070810475393,8
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cleethorpes,19,250,53.0,0.004,11.742838504339685,0.046971354017358746,144
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Martin_Solveig,19,250,10.0,0.004,13.410545324897761,0.053642181299591044,102
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Martin_Solveig,19,250,10.0,0.004,13.410545324897761,0.053642181299591044,102
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Cashmere_Cat,19,250,5.0,0.004,14.103692505457706,0.056414770021830825,80
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Bright_Light_Bright_Light,19,250,3.0,0.004,14.614518129223697,0.05845807251689479,69
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Hawksley_Workman,19,250,4.0,0.004,14.326836056771915,0.057307344227087664,75
1,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/List_of_awards_and_nominations_received_by_Paul_McCartney,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Vocal_jazz,19,250,159.0,0.004,10.644226215671575,0.042576904862686296,168
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Walthamstow,19,250,5.0,0.004,14.103692505457706,0.056414770021830825,80
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Watford,19,250,26.0,0.004,12.455033879870324,0.0498201355194813,127
1,http://dbpedia.org/ontology/hometown,http://dbpedia.org/resource/Southampton,19,250,34.0,0.004,12.186769893275645,0.048747079573102585,133
1,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Yamaha_Tenori-on,19,250,2.0,0.004,15.01998323733186,0.060079932949327446,46
1,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Stylophone,19,250,7.0,0.004,13.767220268836493,0.05506888107534597,98
1,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/John_Lennon__PersonFunction__1,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Audio_engineer,19,250,971.0,0.004,8.83480394960048,0.03533921579840192,188
1,http://dbpedia.org/ontology/occupation,http://dbpedia.org/resource/Mixing_engineer,19,250,191.0,0.004,10.460856989845176,0.0418434279593807,170
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Lioness_Records,19,250,6.0,0.004,13.921370948663752,0.05568548379465501,91
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Epic_Records,19,250,3511.0,0.004,7.549474241723374,0.030197896966893494,205
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Fantastic_Plastic_Records,19,250,18.0,0.004,12.822758659995642,0.05129103463998257,120
1,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Gwyneth_Paltrow,19,250,2.0,0.004,15.01998323733186,0.060079932949327446,46
1,http://dbpedia.org/ontology/partner,http://dbpedia.org/resource/Jane_Asher,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Essex,19,250,1008.0,0.004,8.797406969260493,0.035189627877041975,189
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Middlesex,19,250,,0.004,,,
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Michael_Calfan,19,250,3.0,0.004,14.614518129223697,0.05845807251689479,69
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Ultra_(British_band),19,250,2.0,0.004,15.01998323733186,0.060079932949327446,46
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Ed_Sheeran,19,250,43.0,0.004,11.951930302198244,0.04780772120879298,139
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Gwyneth_Herbert,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Nick_Mulvey,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/McFly,19,250,11.0,0.004,13.315235145093435,0.05326094058037374,107
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Fryars,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Aurora_(singer),19,250,5.0,0.004,14.103692505457706,0.056414770021830825,80
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Nick_Mulvey,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Pop_rock,19,250,6601.0,0.004,6.918153986203036,0.027672615944812143,215
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Acoustic_music,19,250,883.0,0.004,8.929805217287846,0.035719220869151386,186
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Warner_Chappell_Music,19,250,60.0,0.004,11.618785855669707,0.046475143422678826,147
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/David_Tibet,19,250,2.0,0.004,15.01998323733186,0.060079932949327446,46
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Dead_Oceans,19,250,66.0,0.004,11.523475675865381,0.046093902703461524,150
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/679_Artists,19,250,71.0,0.004,11.450450540850492,0.04580180216340197,154
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Navigator_Records,19,250,10.0,0.004,13.410545324897761,0.053642181299591044,102
1,http://dbpedia.org/ontology/partner,http://dbpedia.org/resource/May_Pang,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/restingPlace,http://dbpedia.org/resource/Central_Park,19,250,2.0,0.004,15.01998323733186,0.060079932949327446,46
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Surrey,19,250,1209.0,0.004,8.615581567277014,0.03446232626910806,191
1,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Poplar,_London",19,250,60.0,0.004,11.618785855669707,0.046475143422678826,147
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/McFly,19,250,11.0,0.004,13.315235145093435,0.05326094058037374,107
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Yazoo_(band),19,250,6.0,0.004,13.921370948663752,0.05568548379465501,91
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Michael_Jackson,19,250,70.0,0.004,11.464635175842448,0.04585854070336979,152
1,http://dbpedia.org/ontology/associatedMusicalArtist,http://dbpedia.org/resource/Guillemots_(band),19,250,3.0,0.004,14.614518129223697,0.05845807251689479,69
1,http://dbpedia.org/ontology/child,http://dbpedia.org/resource/Mary_McCartney,19,250,2.0,0.004,15.01998323733186,0.060079932949327446,46
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Jazz,19,250,7937.0,0.004,6.733839768800931,0.026935359075203724,217
1,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Art_pop,19,250,240.0,0.004,10.232491494549816,0.04092996597819926,173
1,http://dbpedia.org/ontology/instrument,http://dbpedia.org/resource/Keyboard_instrument,19,250,1393.0,0.004,8.473915444112,0.033895661776448004,195
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Mute_Records,19,250,388.0,0.004,9.752125078268532,0.03900850031307413,176
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/GTO_Records,19,250,28.0,0.004,12.380925907716602,0.04952370363086641,129
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Elektra_Records,19,250,1249.0,0.004,8.583031907766228,0.03433212763106491,193
1,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Philips_Records,19,250,384.0,0.004,9.76248786530408,0.039049951461216315,175
1,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/David_Furnish,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Heather_Mills,19,250,1.0,0.004,15.713130417891806,0.06285252167156723,14
1,http://dbpedia.org/ontology/partner,http://dbpedia.org/resource/Dakota_Johnson,19,250,,0.004,,,
1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Pinner,19,250,29.0,0.004,12.345834587905333,0.049383338351621335,130
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Guillemots_(band),19,250,3.0,0.004,14.614518129223697,0.05845807251689479,69
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Steps_(pop_group),19,250,11.0,0.004,13.315235145093435,0.05326094058037374,107
1,http://dbpedia.org/ontology/associatedBand,http://dbpedia.org/resource/Tony_Sheridan,19,250,2.0,0.004,15.01998323733186,0.060079932949327446,46
