freq,p,o,rank,sum_freq,freq_dbpedia,tf,idf,tf_idf,rank_tf_idf
21,http://dbpedia.org/ontology/field,http://dbpedia.org/resource/Painting,1,404,3328,0.05198019801980198,7.6030036159507075,0.39520563350238824,2
20,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Italy,2,404,3222,0.04950495049504951,7.635372854154887,0.3779887551561825,3
15,http://dbpedia.org/ontology/movement,http://dbpedia.org/resource/Italian_Renaissance,3,404,36,0.03712871287128713,12.129611479435697,0.45035686186023627,1
12,http://dbpedia.org/ontology/movement,http://dbpedia.org/resource/High_Renaissance,4,404,29,0.0297029702970297,12.345834587905333,0.36670795805659406,4
11,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Venice,5,404,235,0.027227722772277228,10.253544903747647,0.27918067807233693,6
11,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Italians,5,404,1093,0.027227722772277228,8.716448929715268,0.23732905501699988,8
10,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Papal_States,7,404,543,0.024752475247524754,9.416021097957872,0.23306982915737307,9
10,http://dbpedia.org/ontology/movement,http://dbpedia.org/resource/Renaissance,7,404,48,0.024752475247524754,11.841929406983915,0.29311706452930486,5
10,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Italy,7,404,9230,0.024752475247524754,6.582916090394908,0.1629434675840324,17
9,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Republic_of_Florence,10,404,96,0.022277227722772276,11.14878222642397,0.24836396048964288,7
9,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Republic_of_Venice,10,404,209,0.022277227722772276,10.370796165926995,0.2310325878548093,10
9,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Florence,10,404,667,0.022277227722772276,9.210340371976184,0.20518084987075655,13
8,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Florence,13,404,424,0.019801980198019802,9.66339696265985,0.19135439530019505,14
8,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Republic_of_Venice,13,404,154,0.019801980198019802,10.676177815478177,0.21140946169263716,12
7,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Venice,15,404,397,0.017326732673267328,9.729194137204615,0.16857514594166415,16
7,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Rome,15,404,2870,0.017326732673267328,7.75106310913814,0.13430059842566086,19
7,http://dbpedia.org/ontology/field,http://dbpedia.org/resource/Fresco,15,404,24,0.017326732673267328,12.53507658754386,0.21719192107130453,11
7,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Italy,15,404,3755,0.017326732673267328,7.482286853693571,0.129643584098651,20
6,http://dbpedia.org/ontology/movement,http://dbpedia.org/resource/Mannerism,19,404,43,0.01485148514851485,11.951930302198244,0.17750391537918184,15
5,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Republic_of_Florence,20,404,66,0.012376237623762377,11.523475675865381,0.14261727321615572,18
4,http://dbpedia.org/ontology/nationality,http://dbpedia.org/resource/Republic_of_Venice,21,404,34,0.009900990099009901,12.186769893275645,0.12066108805223412,21
