freq,p,o,rank,sum_freq,freq_dbpedia,tf,idf,tf_idf,rank_tf_idf
15,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Benue–Congo_languages,1,133,857,0.11278195488721804,8.959692499294027,1.0104916352587248,2
15,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Atlantic–Congo_languages,1,133,1283,0.11278195488721804,8.55617405327617,0.9649820360837785,3
13,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Namibia,3,133,26,0.09774436090225563,12.455033879870324,1.2174093266038661,1
9,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Angola,4,133,45,0.06766917293233082,11.906467928121486,0.8057008372413036,4
8,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Southern_Bantoid_languages,5,133,148,0.06015037593984962,10.715918144127691,0.6445665049099363,5
8,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Bantu_languages,5,133,337,0.06015037593984962,9.893047487539445,0.5950705255662824,8
7,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Volta–Congo_languages,7,133,248,0.05263157894736842,10.199701671726825,0.536826403775096,10
7,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Bantoid_languages,7,133,474,0.05263157894736842,9.55192309619673,0.50273279453667,11
7,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Zambia,7,133,43,0.05263157894736842,11.951930302198244,0.6290489632735917,6
6,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Botswana,10,133,23,0.045112781954887216,12.577636201962656,0.567412159487037,9
6,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Okavango_River,10,133,6,0.045112781954887216,13.921370948663752,0.6280317721201693,7
4,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/South_Africa,12,133,35,0.03007518796992481,12.157782356402393,0.36564758966623734,12
3,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Khoe_languages,13,133,13,0.022556390977443608,13.14818106043027,0.2965755126412843,13
2,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Germanic_languages,14,133,293,0.015037593984962405,10.03295780887474,0.15087154599811636,17
2,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/West_Germanic_languages,14,133,243,0.015037593984962405,10.220068974551259,0.1536852477376129,16
2,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Ovamboland,14,133,4,0.015037593984962405,14.326836056771915,0.21544114371085585,15
2,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Zambezi,14,133,3,0.015037593984962405,14.614518129223697,0.2197671899131383,14
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Khoekhoe_language,18,133,3,0.007518796992481203,14.614518129223697,0.10988359495656914,27
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/ǃKung_languages,18,133,5,0.007518796992481203,14.103692505457706,0.10604280079291509,28
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Damaraland,18,133,1,0.007518796992481203,15.713130417891806,0.11814383772850981,18
1,http://dbpedia.org/ontology/languageRegulator,http://dbpedia.org/resource/Die_Taalkommissie,18,133,1,0.007518796992481203,15.713130417891806,0.11814383772850981,18
1,http://dbpedia.org/ontology/soundRecording,http://dbpedia.org/resource/German_language__Sound__1,18,133,1,0.007518796992481203,15.713130417891806,0.11814383772850981,18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Orange_River,18,133,2,0.007518796992481203,15.01998323733186,0.11293220479196887,25
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Zimbabwe,18,133,17,0.007518796992481203,12.87991707383559,0.09684148175816233,30
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Kxʼa_languages,18,133,7,0.007518796992481203,13.767220268836493,0.10351293435215407,29
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Low_Franconian,18,133,27,0.007518796992481203,12.417293551887477,0.09336310941268779,31
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Kavango_Region,18,133,2,0.007518796992481203,15.01998323733186,0.11293220479196887,25
1,http://dbpedia.org/ontology/spokenIn,"http://dbpedia.org/resource/Western_Province,_Zambia",18,133,1,0.007518796992481203,15.713130417891806,0.11814383772850981,18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Namaqualand,18,133,1,0.007518796992481203,15.713130417891806,0.11814383772850981,18
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Democratic_Republic_of_the_Congo,18,133,190,0.007518796992481203,10.46610634573132,0.07869252891527309,34
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Paget_Gorman_Sign_System,18,133,1,0.007518796992481203,15.713130417891806,0.11814383772850981,18
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/Weser-Rhine_Germanic,18,133,31,0.007518796992481203,12.27914321340666,0.09232438506320798,32
1,http://dbpedia.org/ontology/languageFamily,http://dbpedia.org/resource/High_German_languages,18,133,62,0.007518796992481203,11.585996032846715,0.08711275212666703,33
1,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/resource/Zambezi_Region,18,133,1,0.007518796992481203,15.713130417891806,0.11814383772850981,18
