freq,p,o,rank,sum_freq,freq_dbpedia,tf,idf,tf_idf,rank_tf_idf
2053,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Microsoft_Windows,1,20459,8618.0,0.1003470355344836,6.651522099716023,0.6674605244986067,2
1869,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/MacOS,2,20459,2242.0,0.09135343858448605,7.998006814259701,0.7306454243047745,1
1040,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Linux,3,20459,1435.0,0.05083337406520358,8.444210289698084,0.4292477003414638,3
599,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/IOS,4,20459,2385.0,0.029278068331785524,7.936176014569365,0.23235590364763917,4
557,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_4,5,20459,2028.0,0.027225182071459995,8.098325053180734,0.22047837404671142,5
481,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Android_(operating_system),6,20459,1845.0,0.023510435505156656,8.19289586141718,0.19261854975031348,7
468,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Xbox_One,7,20459,1536.0,0.02287501832934161,8.376193504184188,0.19160557993832544,8
458,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Nintendo_Switch,8,20459,1436.0,0.02238623588640696,8.443513668283638,0.18901848868829882,9
449,http://dbpedia.org/ontology/gameEngine,http://dbpedia.org/resource/Unity_(game_engine),9,20459,917.0,0.021946331687765774,8.892022945635341,0.19514728494013725,6
353,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Adventure_game,10,20459,1660.0,0.017254020235593137,8.298557536541217,0.1431834796617161,10
254,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_3,11,20459,1702.0,0.012415074050540105,8.273571108758487,0.10271699797764582,11
252,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Xbox_360,12,20459,1760.0,0.012317317561953174,8.240061329859609,0.10149545212985099,12
224,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Platform_game,13,20459,2073.0,0.010948726721736156,8.076378305456027,0.08842605896779657,13
172,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Puzzle_video_game,14,20459,1004.0,0.008407058018475976,8.801383117640132,0.07399373851283556,14
171,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/First-person_shooter,15,20459,980.0,0.008358179774182512,8.825577846227189,0.07376576624980935,15
147,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Role-playing_video_game,16,20459,1305.0,0.007185101911139352,8.539172098135012,0.0613548217618577,17
137,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_Vita,17,20459,536.0,0.0066963194682047025,9.428996256821005,0.06313957120017977,16
131,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Action-adventure_game,18,20459,1394.0,0.006403050002443912,8.473197826571337,0.05425430936413535,18
105,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Real-time_strategy,19,20459,560.0,0.005132215650813823,9.385193634162611,0.04816683765516761,19
97,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Action_game,20,20459,1739.0,0.004741189696466103,8.252064903537523,0.03912460509522165,23
93,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Wii_U,21,20459,309.0,0.004545676719292243,9.979789140994061,0.045364895161662235,20
92,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Wii,22,20459,1083.0,0.004496798474998778,8.725640170890816,0.0392374454138499,22
91,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Macintosh_operating_systems,23,20459,390.0,0.004447920230705313,9.746983678768114,0.04335380589314718,21
87,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Action_role-playing_game,24,20459,847.0,0.004252407253531453,8.971429723239751,0.0381501728296524,25
86,http://dbpedia.org/ontology/gameEngine,http://dbpedia.org/resource/Unreal_Engine,25,20459,794.0,0.004203529009237988,9.03604695664467,0.03798328551109251,26
85,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Macintosh,26,20459,669.0,0.004154650764944523,9.207346357763578,0.03825330858839161,24
82,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_2,27,20459,2069.0,0.004008016032064128,8.078309740146263,0.03237799495048602,29
77,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Turn-based_strategy,28,20459,376.0,0.0037636248105968034,9.783541274501912,0.03682157867621327,27
77,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Electronic_Arts,28,20459,691.0,0.0037636248105968034,9.174990594124136,0.034531222237037903,28
73,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Nintendo_DS,30,20459,1110.0,0.0035681118334229436,8.701015123585426,0.031046195025257156,32
73,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Xbox_(console),30,20459,890.0,0.0035681118334229436,8.921908955165621,0.03183436891964859,31
70,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Shoot_'em_up,32,20459,1502.0,0.0034214771005425487,8.398577585567727,0.028735540886149907,36
69,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/MS-DOS,33,20459,1281.0,0.0033725988562490834,8.557734115995073,0.028861804291688744,35
67,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/PlayStation_Portable,34,20459,899.0,0.003274842367662154,8.911847383420186,0.02918489538536353,34
63,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Simulation_video_game,35,20459,362.0,0.0030793293904882936,9.821486206066036,0.03024359113261451,33
63,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Sega,35,20459,944.0,0.0030793293904882936,8.863004251746306,0.027292109480425108,38
61,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Roguelike,37,20459,140.0,0.0029815729019013635,10.771487995282502,0.03211597671989015,30
56,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Visual_novel,38,20459,317.0,0.002737181680434039,9.954228644014526,0.027246532287248326,39
54,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Massively_multiplayer_online_role-playing_game,39,20459,303.0,0.002639425191847109,9.999397612382436,0.026392661961418033,40
49,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Feral_Interactive,40,20459,60.0,0.002395033970379784,11.618785855669707,0.02782738681889709,37
49,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Puzzle,40,20459,306.0,0.002395033970379784,9.989545315939425,0.023925300380323176,43
49,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Strategy_video_game,40,20459,310.0,0.002395033970379784,9.976558120412614,0.023894195605856497,44
48,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Survival_horror,43,20459,324.0,0.002346155726086319,9.932386902099477,0.023302926404065442,45
48,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Nintendo_3DS,43,20459,499.0,0.002346155726086319,9.500524322140288,0.02228970953921178,49
47,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Sports_video_game,45,20459,1818.0,0.002297277481792854,8.207638143154382,0.018855222284972672,54
44,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Stealth_game,46,20459,225.0,0.002150642748912459,10.297030015687387,0.02214523293857202,50
44,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Devolver_Digital,46,20459,73.0,0.002150642748912459,11.422670976743415,0.02456608450934602,41
43,http://dbpedia.org/ontology/gameEngine,http://dbpedia.org/resource/GameMaker,48,20459,62.0,0.002101764504618994,11.585996032846715,0.024351035212493707,42
43,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Racing_game,48,20459,1248.0,0.002101764504618994,8.583832868962434,0.01804119523756707,58
42,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Ubisoft,50,20459,500.0,0.0020528862603255292,9.498522319469615,0.01949938596303455,52
41,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Paradox_Interactive,51,20459,79.0,0.002004008016032064,11.343682565424785,0.022732830792434437,46
40,http://dbpedia.org/ontology/license,http://dbpedia.org/resource/GNU_General_Public_License,52,20459,2683.0,0.001955129771738599,7.818439567466182,0.015286063966892189,65
40,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Aspyr,52,20459,60.0,0.001955129771738599,11.618785855669707,0.02271623413787518,47
39,http://dbpedia.org/ontology/computingPlatform,http://dbpedia.org/resource/Ouya,54,20459,55.0,0.001906251527445134,11.705797232659336,0.02231419385471988,48
38,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Real-time_tactics,55,20459,180.0,0.0018573732831516693,10.520173567001596,0.01953988931746716,51
