freq,p,o,rank,sum_freq,freq_dbpedia,tf,idf,tf_idf,rank_tf_idf
44,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Stephen_King,1,220,235,0.2,10.253544903747647,2.0507089807495293,1
30,http://dbpedia.org/ontology/mediaType,http://dbpedia.org/resource/Hardcover,2,220,10171,0.13636363636363635,6.48583460526621,0.8844319916272104,2
22,http://dbpedia.org/ontology/literaryGenre,http://dbpedia.org/resource/Horror_fiction,3,220,1154,0.1,8.662140970823762,0.8662140970823762,3
15,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Charles_Scribner's_Sons,4,220,327,0.06818181818181818,9.923170246994554,0.6765797895678104,4
15,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Viking_Press,4,220,662,0.06818181818181818,9.217864861954798,0.6284907860423725,5
12,http://dbpedia.org/ontology/mediaType,http://dbpedia.org/resource/Paperback,6,220,5824,0.05454545454545454,7.043387828015285,0.3841847906190155,6
8,http://dbpedia.org/ontology/literaryGenre,http://dbpedia.org/resource/Crime_fiction,7,220,1100,0.03636363636363636,8.710064959105345,0.316729634876558,7
6,http://dbpedia.org/ontology/literaryGenre,http://dbpedia.org/resource/Science_fiction,8,220,4307,0.02727272727272727,7.345133532837696,0.20032182362284626,11
5,http://dbpedia.org/ontology/literaryGenre,http://dbpedia.org/resource/Thriller_(genre),9,220,850,0.022727272727272728,8.967894068407444,0.20381577428198738,9
5,http://dbpedia.org/ontology/publisher,http://dbpedia.org/resource/Doubleday_(publisher),9,220,929,0.022727272727272728,8.879021679077969,0.20179594725177202,10
4,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/United_States,11,220,66742,0.01818181818181818,4.604540698999184,0.08371892179998516,19
4,http://dbpedia.org/ontology/literaryGenre,http://dbpedia.org/resource/Fantasy_literature,11,220,1405,0.01818181818181818,8.465337836123961,0.153915233384072,14
4,http://dbpedia.org/ontology/literaryGenre,http://dbpedia.org/resource/Psychological_horror,11,220,21,0.01818181818181818,12.668607980168384,0.23033832691215242,8
3,http://dbpedia.org/ontology/mediaType,http://dbpedia.org/resource/Printing,14,220,128,0.013636363636363636,10.86110015397219,0.14810591119052985,15
