freq,p,o,rank,sum_freq,freq_dbpedia,tf,idf,tf_idf,rank_tf_idf
78,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Talk_show,1,829,666,0.09408926417370325,9.211840747351417,0.8667353176036314,1
46,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/480i,2,829,1336,0.05548854041013269,8.515695063795215,0.47252348966776825,2
32,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/GMA_Network,3,829,643,0.038600723763570564,9.246985693654187,0.35694034040643424,3
28,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/NTSC,4,829,1785,0.033775633293124246,8.225956723678067,0.2778368977840602,4
23,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/Philippines,5,829,5459,0.027744270205066344,7.108109516110049,0.19720931106216058,7
22,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Quezon_City,6,829,466,0.026537997587454766,9.568944783766161,0.25394063358607427,5
22,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/ABS-CBN,6,829,524,0.026537997587454766,9.451638733570764,0.25082756590899496,6
16,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/1080i,8,829,3841,0.019300361881785282,7.459642389545902,0.1439737976269414,12
15,http://dbpedia.org/ontology/format,http://dbpedia.org/resource/5.1_surround_sound,9,829,504,0.018094089264173704,9.490554149820438,0.1717229339533252,9
14,http://dbpedia.org/ontology/network,http://dbpedia.org/resource/TV5_(Philippine_TV_network),10,829,176,0.016887816646562123,10.542646422853654,0.17804227975868656,8
12,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/ABS-CBN_Corporation,11,829,127,0.014475271411338963,10.868943331433215,0.15733090467695848,11
11,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/ABS-CBN_Broadcasting_Center,12,829,45,0.013268998793727383,11.906467928121486,0.15798690857579778,10
9,http://dbpedia.org/ontology/creator,http://dbpedia.org/resource/TV5_Network,13,829,78,0.010856453558504222,11.356421591202215,0.12329046359568148,14
8,http://dbpedia.org/ontology/location,http://dbpedia.org/resource/Philippines,14,829,1204,0.009650180940892641,8.61972579202304,0.08318191355390146,23
8,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Boy_Abunda,14,829,9,0.009650180940892641,13.515905840555588,0.13043093694142907,13
8,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Louie_Ignacio,14,829,32,0.009650180940892641,12.247394515092079,0.11818957312513466,15
7,http://dbpedia.org/ontology/developer,http://dbpedia.org/resource/ABS-CBN_Corporation,17,829,21,0.008443908323281062,12.668607980168384,0.10697256436812869,16
7,http://dbpedia.org/ontology/channel,http://dbpedia.org/resource/ABS-CBN,17,829,38,0.008443908323281062,12.07554425816542,0.10196478866967183,17
6,http://dbpedia.org/ontology/company,http://dbpedia.org/resource/Viva_Television,19,829,29,0.007237635705669481,12.345834587905333,0.08935465322971291,21
6,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Cristy_Fermin,19,829,8,0.007237635705669481,13.63368887621197,0.09867567341046057,18
6,http://dbpedia.org/ontology/presenter,http://dbpedia.org/resource/Kris_Aquino,19,829,15,0.007237635705669481,13.005080216789596,0.09412603293213218,19
