freq,p,o,rank,sum_freq,freq_dbpedia,tf,idf,tf_idf,rank_tf_idf
36,http://dbpedia.org/ontology/language,http://dbpedia.org/resource/German_language,1,219,3559.0,0.1643835616438356,7.5358955323816135,1.2387773477887583,1
10,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Bavaria,2,219,15.0,0.045662100456621,13.005080216789596,0.593839279305461,2
8,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/North_Rhine-Westphalia,3,219,11.0,0.0365296803652968,13.315235145093435,0.4864012838390296,3
7,http://dbpedia.org/ontology/locationCountry,http://dbpedia.org/resource/Germany,4,219,331.0,0.0319634703196347,9.911012042514743,0.3167903392584621,9
7,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Saxony-Anhalt,4,219,8.0,0.0319634703196347,13.63368887621197,0.4357800097419351,4
7,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Thuringia,4,219,8.0,0.0319634703196347,13.63368887621197,0.4357800097419351,4
7,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Hesse,4,219,11.0,0.0319634703196347,13.315235145093435,0.4256011233591509,7
7,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Saxony,4,219,8.0,0.0319634703196347,13.63368887621197,0.4357800097419351,4
6,http://dbpedia.org/ontology/country,http://dbpedia.org/resource/Germany,9,219,5654.0,0.0273972602739726,7.073011879638271,0.19378114738734986,19
6,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Bremen_(state),9,219,10.0,0.0273972602739726,13.410545324897761,0.36741220068213043,8
5,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Contemporary_hit_radio,11,219,929.0,0.0228310502283105,8.879021679077969,0.20271738993328695,14
5,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Digital_Audio_Broadcasting,11,219,40.0,0.0228310502283105,12.02425096377787,0.27452627771182353,10
4,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Berlin,13,219,5.0,0.0182648401826484,14.103692505457706,0.25760168959740104,11
4,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Brandenburg,13,219,5.0,0.0182648401826484,14.103692505457706,0.25760168959740104,11
4,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Berlin,13,219,242.0,0.0182648401826484,10.22419269173512,0.1867432455111437,20
4,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Cologne,13,219,34.0,0.0182648401826484,12.186769893275645,0.22258940444339076,13
3,http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Deutschlandradio,17,219,3.0,0.0136986301369863,14.614518129223697,0.20019887848251638,15
3,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Adult_contemporary_music,17,219,1587.0,0.0136986301369863,8.343529697365398,0.11429492736116982,33
3,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Lower_Saxony,17,219,3.0,0.0136986301369863,14.614518129223697,0.20019887848251638,15
3,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Internet,17,219,11.0,0.0136986301369863,13.315235145093435,0.18240048143963608,21
3,http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/resource/Deutschlandradio,17,219,3.0,0.0136986301369863,14.614518129223697,0.20019887848251638,15
3,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Hamburg,17,219,3.0,0.0136986301369863,14.614518129223697,0.20019887848251638,15
3,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Speech,17,219,14.0,0.0136986301369863,13.074073088276547,0.17909689162022666,22
3,http://dbpedia.org/ontology/broadcastNetwork,http://dbpedia.org/resource/ARD_(broadcaster),17,219,14.0,0.0136986301369863,13.074073088276547,0.17909689162022666,22
2,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Baden-Württemberg,25,219,2.0,0.0091324200913242,15.01998323733186,0.1371687966879622,24
2,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/DVB-C,25,219,3.0,0.0091324200913242,14.614518129223697,0.13346591898834426,31
2,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Schleswig-Holstein,25,219,2.0,0.0091324200913242,15.01998323733186,0.1371687966879622,24
2,http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Westdeutscher_Rundfunk,25,219,2.0,0.0091324200913242,15.01998323733186,0.1371687966879622,24
2,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Traffic_reporting,25,219,2.0,0.0091324200913242,15.01998323733186,0.1371687966879622,24
2,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/All-news_radio,25,219,659.0,0.0091324200913242,9.222406883389299,0.08422289391223103,34
2,http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/resource/Deutschlandfunk,25,219,2.0,0.0091324200913242,15.01998323733186,0.1371687966879622,24
2,http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/resource/Deutschlandfunk_Nova,25,219,2.0,0.0091324200913242,15.01998323733186,0.1371687966879622,24
2,http://dbpedia.org/ontology/sisterStation,http://dbpedia.org/resource/Deutschlandfunk_Kultur,25,219,2.0,0.0091324200913242,15.01998323733186,0.1371687966879622,24
2,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Germany,25,219,4.0,0.0091324200913242,14.326836056771915,0.13083868544997182,32
1,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/France,35,219,,0.0045662100456621,,,
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Alternative_rock,35,219,240.0,0.0045662100456621,10.232491494549816,0.04672370545456537,74
1,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Rhineland-Palatinate,35,219,1.0,0.0045662100456621,15.713130417891806,0.07174945396297627,35
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Community_radio,35,219,505.0,0.0045662100456621,9.488571988616446,0.043326812733408424,78
1,http://dbpedia.org/ontology/broadcastArea,http://dbpedia.org/resource/Central_West_Berlin,35,219,1.0,0.0045662100456621,15.713130417891806,0.07174945396297627,35
1,http://dbpedia.org/ontology/locationCity,http://dbpedia.org/resource/North_Rhine-Westphalia,35,219,3.0,0.0045662100456621,14.614518129223697,0.06673295949417213,53
1,http://dbpedia.org/ontology/owner,http://dbpedia.org/resource/Südwestrundfunk,35,219,1.0,0.0045662100456621,15.713130417891806,0.07174945396297627,35
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Culture,35,219,5.0,0.0045662100456621,14.103692505457706,0.06440042239935026,58
1,http://dbpedia.org/ontology/service,http://dbpedia.org/resource/Radio,35,219,11.0,0.0045662100456621,13.315235145093435,0.0608001604798787,63
1,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Leipzig,35,219,25.0,0.0045662100456621,12.494254593023605,0.05705139083572422,67
1,http://dbpedia.org/ontology/programmeFormat,http://dbpedia.org/resource/Radio_art,35,219,2.0,0.0045662100456621,15.01998323733186,0.0685843983439811,46
1,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Balderschwang,35,219,1.0,0.0045662100456621,15.713130417891806,0.07174945396297627,35
1,http://dbpedia.org/ontology/keyPerson,http://dbpedia.org/resource/Karola_Wille,35,219,1.0,0.0045662100456621,15.713130417891806,0.07174945396297627,35
1,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Germany,35,219,146.0,0.0045662100456621,10.72952379618347,0.048993259343303515,72
1,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Rostock,35,219,9.0,0.0045662100456621,13.515905840555588,0.06171646502536798,62
