freq,p,o,rank,sum_freq,freq_dbpedia,tf,idf,tf_idf,rank_tf_idf
39,http://dbpedia.org/ontology/recordLabel,http://dbpedia.org/resource/Roadrunner_Records,1,431,690,0.09048723897911833,9.1764388203005,0.83035061250979,2
37,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Corey_Taylor,2,431,44,0.08584686774941995,11.928940783973545,1.0240622018724388,1
28,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Jim_Root,3,431,30,0.06496519721577726,12.311933036229652,0.7998471578061026,3
27,http://dbpedia.org/ontology/artist,http://dbpedia.org/resource/Slipknot_(band),4,431,31,0.06264501160092807,12.27914321340666,0.7692270690533175,4
13,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Nu_metal,5,431,997,0.030162412993039442,8.808379647929968,0.26568198474034704,10
12,http://dbpedia.org/ontology/artist,http://dbpedia.org/resource/Stone_Sour,6,431,18,0.027842227378190254,12.822758659995642,0.35701416222725685,5
11,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Shawn_Crahan,7,431,13,0.025522041763341066,13.14818106043027,0.33556842613627136,6
11,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Joey_Jordison,7,431,14,0.025522041763341066,13.074073088276547,0.33367703937596754,7
10,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Alternative_metal,9,431,1585,0.02320185614849188,8.344790731580426,0.19361463414339736,15
9,http://dbpedia.org/ontology/type,http://dbpedia.org/resource/Single_(music),10,431,6390,0.02088167053364269,6.950640870520226,0.14514099265587477,23
9,http://dbpedia.org/ontology/musicType,http://dbpedia.org/resource/Single_(music),10,431,6390,0.02088167053364269,6.950640870520226,0.14514099265587477,23
9,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Nick_Raskulinecz,10,431,72,0.02088167053364269,11.436464298875752,0.2388124795588904,13
9,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Greg_Fidelman,10,431,18,0.02088167053364269,12.822758659995642,0.2677606216704426,9
9,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Paul_Gray_(American_musician),10,431,11,0.02088167053364269,13.315235145093435,0.27804435337782113,8
8,http://dbpedia.org/ontology/album,http://dbpedia.org/resource/.5:_The_Gray_Chapter,15,431,9,0.018561484918793503,13.515905840555588,0.2508752824233056,11
8,http://dbpedia.org/ontology/genre,http://dbpedia.org/resource/Thrash_metal,15,431,1148,0.018561484918793503,8.667353841012295,0.16087895760579665,22
8,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Josh_Rand,15,431,9,0.018561484918793503,13.515905840555588,0.2508752824233056,11
7,http://dbpedia.org/ontology/writer,http://dbpedia.org/resource/Mick_Thomson,18,431,8,0.016241299303944315,13.63368887621197,0.2214288216554148,14
